,id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
7614,7614,rural,1,0.03,35,night,foggy,False,True,morning,True,True,0.0,0.39
19560,19560,rural,3,0.75,60,dim,clear,True,True,afternoon,True,True,0.0,0.44
36716,36716,urban,1,0.64,45,dim,clear,True,True,afternoon,False,True,2.0,0.33
22245,22245,urban,2,0.57,25,night,foggy,True,True,afternoon,False,False,0.0,0.54
10707,10707,rural,3,0.36,35,night,clear,True,True,evening,False,False,1.0,0.34
25486,25486,rural,2,0.26,45,daylight,rainy,True,False,afternoon,True,False,0.0,0.24
41724,41724,urban,3,0.58,25,daylight,rainy,True,False,evening,False,True,1.0,0.28
34805,34805,urban,4,0.75,60,dim,clear,True,True,afternoon,False,False,1.0,0.52
8933,8933,rural,4,0.81,35,night,rainy,True,True,morning,True,True,2.0,0.51
25901,25901,urban,1,0.52,45,dim,rainy,True,False,morning,False,True,0.0,0.24
21937,21937,urban,3,0.4,35,daylight,rainy,True,False,evening,False,True,1.0,0.25
38480,38480,rural,4,0.37,45,night,foggy,True,False,evening,False,True,1.0,0.3
20871,20871,highway,1,0.57,70,daylight,clear,False,True,morning,False,True,2.0,0.31
34616,34616,urban,1,0.62,70,night,clear,True,False,evening,False,False,1.0,0.45
20411,20411,highway,3,0.61,25,dim,foggy,True,False,evening,False,False,1.0,0.38
6675,6675,urban,2,0.89,25,daylight,foggy,True,False,evening,True,True,0.0,0.38
12139,12139,urban,3,0.18,45,night,rainy,False,False,evening,False,False,1.0,0.21
36923,36923,rural,1,0.31,25,night,clear,True,True,afternoon,False,False,1.0,0.28
28856,28856,urban,4,0.46,60,daylight,clear,True,True,morning,True,True,1.0,0.23
36534,36534,rural,2,0.45,35,dim,rainy,False,True,morning,False,True,2.0,0.24
42577,42577,urban,1,0.41,45,night,clear,False,False,evening,True,False,2.0,0.29
21959,21959,urban,4,0.53,70,dim,rainy,True,False,afternoon,True,False,1.0,0.43
29179,29179,highway,2,0.7,70,dim,foggy,True,False,morning,False,False,1.0,0.47
38863,38863,urban,4,0.51,60,night,rainy,True,True,afternoon,True,True,2.0,0.65
28073,28073,urban,2,0.53,45,daylight,rainy,False,False,afternoon,True,False,2.0,0.24
30763,30763,highway,3,0.38,70,daylight,foggy,False,False,evening,True,False,2.0,0.39
20762,20762,urban,1,0.84,70,dim,clear,True,False,morning,True,False,1.0,0.44
2560,2560,rural,3,0.79,25,night,clear,False,True,afternoon,False,True,2.0,0.48
11719,11719,highway,3,0.71,60,daylight,rainy,True,False,afternoon,True,False,1.0,0.48
25357,25357,highway,3,0.06,60,daylight,clear,False,True,afternoon,False,True,2.0,0.24
8558,8558,rural,3,0.58,35,dim,rainy,False,True,afternoon,True,False,2.0,0.31
41503,41503,highway,3,0.94,25,daylight,foggy,False,True,afternoon,False,True,0.0,0.37
12681,12681,highway,4,0.94,45,dim,foggy,False,False,afternoon,True,True,1.0,0.35
12382,12382,rural,1,0.21,25,daylight,foggy,True,False,morning,False,False,0.0,0.17
13773,13773,urban,4,0.86,35,daylight,clear,False,True,morning,False,True,0.0,0.31
4181,4181,rural,4,0.0,25,dim,rainy,False,False,morning,True,True,1.0,0.08
28811,28811,highway,4,0.32,45,dim,rainy,True,False,morning,True,False,0.0,0.21
8697,8697,rural,3,0.47,25,dim,clear,False,True,morning,False,True,0.0,0.07
5517,5517,rural,1,0.24,25,daylight,rainy,True,True,evening,True,False,2.0,0.22
25463,25463,highway,4,0.81,45,dim,rainy,False,True,evening,True,False,2.0,0.31
16332,16332,rural,3,0.28,70,daylight,rainy,True,False,morning,False,False,1.0,0.44
20160,20160,highway,1,0.4,70,daylight,foggy,True,True,evening,True,True,0.0,0.48
34882,34882,urban,4,0.7,45,night,rainy,True,True,afternoon,False,False,2.0,0.57
20948,20948,highway,4,0.7,45,dim,foggy,True,True,evening,True,False,0.0,0.27
18877,18877,rural,1,0.28,25,dim,rainy,True,True,afternoon,True,False,0.0,0.08
13398,13398,urban,3,0.63,70,daylight,rainy,False,True,morning,True,False,0.0,0.45
28324,28324,rural,2,0.03,25,night,rainy,True,False,afternoon,False,False,0.0,0.31
25000,25000,highway,1,0.8,70,daylight,foggy,True,False,morning,True,True,0.0,0.57
33637,33637,highway,2,0.17,70,dim,rainy,False,True,afternoon,False,True,1.0,0.27
32691,32691,rural,2,0.3,35,daylight,clear,False,True,evening,True,True,1.0,0.07
32155,32155,urban,2,0.04,60,daylight,rainy,False,False,afternoon,False,True,1.0,0.32
20294,20294,highway,4,0.22,70,dim,foggy,False,False,morning,True,False,1.0,0.35
35605,35605,rural,1,0.85,60,night,foggy,True,True,evening,False,True,1.0,0.77
39878,39878,urban,1,0.19,35,dim,foggy,False,True,afternoon,False,True,1.0,0.18
41917,41917,urban,2,0.63,35,dim,rainy,False,False,afternoon,False,False,0.0,0.33
34443,34443,rural,2,0.16,70,night,clear,False,False,afternoon,False,False,2.0,0.38
28153,28153,urban,2,0.21,60,daylight,foggy,True,True,evening,False,True,2.0,0.41
9598,9598,urban,2,0.64,70,daylight,rainy,True,True,morning,False,True,2.0,0.54
40536,40536,rural,2,0.95,70,dim,foggy,True,True,afternoon,True,True,3.0,0.74
2445,2445,rural,1,0.7,25,night,foggy,False,False,afternoon,False,True,0.0,0.48
17408,17408,highway,2,0.56,35,night,clear,True,True,afternoon,True,True,2.0,0.37
8512,8512,rural,3,0.62,45,dim,clear,True,False,morning,True,False,0.0,0.12
10485,10485,highway,1,0.43,45,night,foggy,True,False,morning,False,True,1.0,0.53
35010,35010,highway,3,0.83,70,dim,foggy,True,False,morning,True,False,1.0,0.57
32366,32366,highway,3,0.31,60,dim,rainy,False,True,morning,False,True,1.0,0.39
23430,23430,urban,4,0.65,45,night,rainy,True,True,morning,False,True,1.0,0.35
14556,14556,highway,3,0.21,35,night,clear,False,False,evening,True,True,1.0,0.2
29211,29211,rural,1,0.67,45,daylight,rainy,True,False,afternoon,False,True,1.0,0.3
24083,24083,highway,3,0.15,25,dim,clear,True,True,morning,False,True,2.0,0.05
35610,35610,rural,3,0.75,60,night,rainy,True,False,evening,False,False,0.0,0.67
29304,29304,highway,2,0.44,45,dim,rainy,False,False,morning,False,True,2.0,0.27
24777,24777,urban,4,0.12,45,dim,clear,True,True,morning,True,True,0.0,0.03
24154,24154,urban,4,0.03,45,daylight,clear,False,False,afternoon,True,False,2.0,0.05
43032,43032,rural,4,0.25,45,dim,rainy,False,True,morning,False,True,0.0,0.22
2904,2904,urban,4,0.07,45,night,foggy,True,True,evening,False,False,1.0,0.34
40409,40409,rural,4,0.26,25,dim,rainy,False,False,evening,True,False,1.0,0.32
25966,25966,highway,2,0.49,70,dim,clear,False,True,afternoon,False,False,0.0,0.48
22705,22705,highway,3,0.89,25,dim,foggy,False,True,evening,True,True,1.0,0.45
32269,32269,rural,3,0.43,25,daylight,clear,False,False,morning,True,True,2.0,0.08
8248,8248,highway,1,0.79,35,night,clear,True,True,morning,False,True,1.0,0.42
20592,20592,urban,4,0.63,25,night,clear,False,False,morning,False,True,2.0,0.35
22298,22298,rural,2,0.87,25,dim,rainy,False,True,morning,False,False,2.0,0.41
5079,5079,rural,3,0.22,45,night,clear,False,True,morning,True,False,0.0,0.23
34276,34276,rural,4,0.68,60,night,clear,False,False,afternoon,False,False,2.0,0.63
28579,28579,highway,2,0.36,60,dim,foggy,True,False,evening,True,True,0.0,0.34
30431,30431,highway,3,0.84,45,daylight,rainy,False,True,evening,False,False,3.0,0.46
15796,15796,highway,4,0.36,70,daylight,foggy,True,True,morning,False,True,0.0,0.32
26728,26728,urban,3,0.39,45,dim,clear,False,True,afternoon,True,False,0.0,0.12
15882,15882,rural,3,0.56,25,night,foggy,False,True,morning,True,True,2.0,0.4
22648,22648,urban,4,0.68,45,daylight,clear,True,True,afternoon,False,False,1.0,0.21
26974,26974,urban,3,0.03,45,night,foggy,False,True,afternoon,True,False,1.0,0.16
40412,40412,highway,4,0.34,35,dim,rainy,False,True,morning,True,False,1.0,0.17
4375,4375,rural,3,0.03,45,night,foggy,False,False,afternoon,True,True,0.0,0.27
22688,22688,rural,1,0.36,35,night,foggy,False,False,afternoon,False,False,2.0,0.38
21905,21905,highway,3,0.38,25,dim,foggy,False,False,morning,False,False,2.0,0.27
29797,29797,highway,2,0.55,60,dim,rainy,False,True,afternoon,True,True,0.0,0.53
39963,39963,rural,4,0.02,70,night,clear,False,True,evening,False,True,0.0,0.41
34758,34758,rural,4,0.42,45,dim,foggy,False,False,afternoon,True,True,2.0,0.16
11471,11471,highway,3,0.49,70,dim,rainy,True,False,morning,False,True,1.0,0.47
6096,6096,rural,4,0.54,25,dim,clear,False,True,morning,False,False,1.0,0.15
7307,7307,highway,3,0.89,25,daylight,foggy,True,False,morning,True,False,1.0,0.4
38984,38984,rural,3,0.29,25,night,rainy,False,True,evening,True,False,2.0,0.37
11583,11583,rural,4,0.33,60,daylight,foggy,False,True,evening,False,False,0.0,0.46
13536,13536,rural,1,0.27,70,dim,foggy,True,True,morning,False,True,2.0,0.47
12302,12302,urban,3,0.76,60,night,rainy,True,False,evening,False,True,1.0,0.68
39280,39280,highway,3,0.88,60,dim,foggy,False,True,morning,True,True,0.0,0.55
4089,4089,rural,2,0.78,70,night,foggy,False,False,afternoon,True,False,1.0,0.71
8742,8742,highway,3,0.58,35,night,rainy,True,False,afternoon,True,False,2.0,0.49
11563,11563,urban,2,0.36,35,daylight,rainy,True,True,morning,True,False,0.0,0.26
11764,11764,highway,4,0.08,45,night,foggy,True,False,evening,False,True,1.0,0.24
32664,32664,highway,4,0.73,45,dim,rainy,True,False,morning,False,False,1.0,0.31
21126,21126,urban,2,0.63,45,daylight,clear,False,True,afternoon,False,True,1.0,0.21
24226,24226,highway,4,0.16,60,daylight,foggy,True,True,evening,True,True,1.0,0.4
13285,13285,rural,3,0.16,25,daylight,clear,False,False,morning,False,False,0.0,0.06
23874,23874,urban,3,0.26,35,dim,clear,False,True,morning,True,True,0.0,0.06
10399,10399,rural,4,0.41,35,dim,foggy,True,True,afternoon,False,True,1.0,0.22
9251,9251,highway,1,0.4,25,dim,rainy,False,True,morning,False,True,1.0,0.27
4004,4004,highway,2,0.62,60,daylight,clear,False,True,afternoon,True,False,0.0,0.38
30095,30095,urban,3,0.55,70,night,foggy,True,False,morning,False,True,0.0,0.7
30983,30983,rural,1,0.94,70,daylight,foggy,True,True,evening,False,False,2.0,0.52
5235,5235,rural,4,0.85,60,daylight,foggy,False,True,afternoon,True,False,0.0,0.57
24204,24204,rural,1,0.54,70,daylight,foggy,True,True,afternoon,False,False,2.0,0.44
21817,21817,highway,2,0.74,70,night,clear,False,True,afternoon,True,True,3.0,0.69
15464,15464,highway,2,0.58,25,dim,clear,True,False,morning,True,True,2.0,0.22
40861,40861,urban,3,0.87,25,dim,clear,False,True,evening,False,True,0.0,0.35
12623,12623,rural,4,0.03,45,dim,foggy,True,True,morning,True,False,2.0,0.06
29918,29918,highway,3,0.21,60,daylight,rainy,True,True,evening,False,False,0.0,0.2
20138,20138,highway,3,0.45,35,dim,foggy,True,True,afternoon,False,True,0.0,0.23
947,947,urban,2,0.03,25,night,clear,False,False,afternoon,False,False,0.0,0.32
10822,10822,urban,1,0.62,60,night,clear,True,False,morning,True,True,2.0,0.58
31752,31752,highway,2,0.67,25,dim,foggy,True,False,morning,False,False,2.0,0.28
10659,10659,highway,2,0.82,60,dim,rainy,False,False,evening,True,True,1.0,0.51
12554,12554,highway,3,0.21,45,dim,rainy,True,True,afternoon,False,False,1.0,0.21
42323,42323,rural,4,0.19,35,dim,rainy,False,True,evening,True,False,1.0,0.14
13272,13272,urban,4,0.72,35,dim,clear,True,False,morning,True,False,2.0,0.15
36605,36605,highway,4,0.04,70,daylight,rainy,False,False,afternoon,False,True,1.0,0.4
2683,2683,urban,4,0.04,70,night,clear,True,False,evening,False,False,1.0,0.29
36201,36201,urban,3,0.06,70,night,clear,True,True,evening,True,False,2.0,0.2
32150,32150,rural,2,0.58,60,night,foggy,False,False,afternoon,False,False,1.0,0.59
31997,31997,urban,3,0.69,60,night,clear,False,True,afternoon,True,False,1.0,0.69
17806,17806,urban,1,0.53,25,daylight,foggy,True,False,afternoon,True,False,3.0,0.42
12239,12239,rural,2,0.16,45,night,rainy,False,False,afternoon,True,False,1.0,0.35
22625,22625,highway,3,0.62,70,dim,clear,True,False,afternoon,True,False,1.0,0.47
1947,1947,highway,1,0.14,60,dim,foggy,True,False,evening,False,False,1.0,0.27
8925,8925,highway,3,0.74,60,dim,rainy,True,False,afternoon,False,False,3.0,0.64
1825,1825,urban,4,0.34,45,daylight,foggy,True,True,afternoon,False,True,2.0,0.19
35328,35328,urban,3,0.75,70,daylight,clear,True,False,evening,True,True,1.0,0.35
21964,21964,rural,2,0.73,25,night,clear,False,False,afternoon,False,True,0.0,0.36
40815,40815,rural,3,0.08,35,night,foggy,False,False,afternoon,False,True,0.0,0.48
34210,34210,rural,1,0.09,60,daylight,clear,False,True,morning,False,False,2.0,0.27
39148,39148,rural,4,0.7,35,dim,clear,True,True,afternoon,False,False,2.0,0.22
30654,30654,highway,1,0.96,25,dim,rainy,False,False,morning,True,True,0.0,0.35
42938,42938,highway,2,0.17,35,night,clear,True,False,afternoon,True,False,2.0,0.31
10874,10874,urban,4,0.44,70,dim,rainy,True,False,afternoon,True,True,1.0,0.43
4801,4801,highway,4,0.01,60,daylight,foggy,True,False,afternoon,False,False,0.0,0.23
43268,43268,highway,2,0.38,70,night,foggy,True,False,afternoon,False,True,1.0,0.6
16384,16384,urban,2,0.79,60,dim,clear,False,False,afternoon,True,True,2.0,0.48
37215,37215,highway,2,0.68,25,daylight,rainy,True,False,morning,True,False,2.0,0.36
21203,21203,rural,1,0.51,60,night,foggy,False,True,evening,True,False,1.0,0.67
7395,7395,rural,4,0.65,70,daylight,clear,True,False,morning,False,True,0.0,0.41
22052,22052,highway,3,0.82,25,night,foggy,True,True,afternoon,True,False,2.0,0.52
21981,21981,urban,1,0.06,45,night,foggy,True,True,evening,True,False,0.0,0.33
9323,9323,urban,3,0.79,45,daylight,clear,False,False,evening,False,True,0.0,0.3
42126,42126,urban,2,0.18,45,night,rainy,False,True,evening,False,False,1.0,0.37
15941,15941,urban,3,0.54,25,night,foggy,False,False,evening,False,True,2.0,0.56
18737,18737,rural,4,0.29,25,daylight,foggy,True,False,evening,False,False,1.0,0.18
40539,40539,urban,2,0.45,25,dim,clear,True,True,afternoon,False,True,1.0,0.17
549,549,highway,2,0.59,25,dim,clear,False,True,evening,False,True,0.0,0.23
15887,15887,rural,4,0.98,60,dim,foggy,False,False,afternoon,True,False,1.0,0.59
10023,10023,urban,1,0.49,25,dim,rainy,False,True,evening,False,True,0.0,0.27
36096,36096,urban,1,0.37,45,night,clear,False,False,evening,False,False,0.0,0.22
29803,29803,urban,1,0.19,35,dim,foggy,True,True,morning,False,True,2.0,0.19
41558,41558,urban,1,0.79,35,night,clear,True,True,afternoon,False,True,1.0,0.37
11837,11837,urban,3,0.15,45,dim,foggy,False,False,evening,False,False,2.0,0.19
22470,22470,urban,3,0.26,45,night,foggy,True,False,afternoon,True,True,0.0,0.1
6255,6255,highway,1,0.24,45,daylight,rainy,False,False,evening,False,False,1.0,0.27
27580,27580,rural,3,0.3,60,dim,clear,True,True,afternoon,False,True,1.0,0.2
5202,5202,rural,3,0.56,25,daylight,rainy,True,False,afternoon,False,True,3.0,0.42
1744,1744,rural,1,0.82,35,night,foggy,False,True,morning,False,False,1.0,0.59
27235,27235,rural,1,0.47,35,night,clear,True,True,afternoon,False,True,0.0,0.39
25044,25044,urban,2,0.35,35,night,clear,False,True,evening,False,True,1.0,0.28
38504,38504,highway,2,0.66,60,night,foggy,True,False,evening,False,True,3.0,0.84
42486,42486,urban,1,0.86,35,dim,rainy,False,False,afternoon,False,False,1.0,0.29
21758,21758,urban,4,0.18,60,dim,clear,True,True,afternoon,False,False,1.0,0.2
36341,36341,highway,1,0.18,70,daylight,foggy,True,False,morning,False,False,0.0,0.32
28386,28386,highway,1,0.86,25,night,clear,True,True,evening,True,False,1.0,0.39
28947,28947,highway,4,0.86,70,dim,clear,False,True,morning,True,False,2.0,0.44
35310,35310,highway,3,0.31,60,daylight,rainy,True,True,afternoon,True,True,2.0,0.29
43476,43476,urban,1,0.03,35,daylight,rainy,True,False,evening,True,False,0.0,0.14
30339,30339,urban,1,0.76,35,daylight,foggy,False,True,evening,True,True,0.0,0.36
41136,41136,rural,4,0.45,25,daylight,rainy,False,True,morning,True,True,1.0,0.24
11270,11270,urban,1,0.26,60,dim,clear,True,True,afternoon,False,False,1.0,0.28
7977,7977,rural,4,0.03,25,night,rainy,False,True,afternoon,True,False,1.0,0.22
32510,32510,urban,1,0.81,70,daylight,foggy,True,False,afternoon,True,True,1.0,0.45
13807,13807,rural,2,0.53,60,night,foggy,False,False,afternoon,False,True,2.0,0.69
32559,32559,rural,3,0.56,45,daylight,foggy,True,False,evening,True,True,1.0,0.3
35301,35301,highway,3,0.49,25,night,foggy,True,False,evening,True,True,0.0,0.38
4106,4106,rural,3,0.12,45,daylight,rainy,False,True,morning,True,False,0.0,0.0
28991,28991,urban,3,0.43,35,night,foggy,False,True,morning,True,True,0.0,0.38
27200,27200,rural,2,0.93,70,dim,rainy,True,True,afternoon,False,False,3.0,0.72
28259,28259,highway,3,0.89,35,night,clear,True,True,morning,True,True,1.0,0.47
21984,21984,rural,2,0.67,70,night,foggy,False,False,evening,True,True,2.0,0.66
38763,38763,highway,2,0.66,60,night,foggy,True,False,morning,True,True,2.0,0.73
28237,28237,highway,4,0.61,25,dim,foggy,True,False,afternoon,True,False,2.0,0.34
37491,37491,urban,4,0.14,70,daylight,rainy,False,False,morning,False,False,1.0,0.36
36100,36100,rural,1,0.96,35,dim,foggy,True,False,morning,True,False,0.0,0.4
29976,29976,highway,4,0.15,25,daylight,foggy,False,False,afternoon,True,True,1.0,0.11
38294,38294,rural,4,0.55,25,night,foggy,False,True,evening,False,True,2.0,0.51
30409,30409,urban,1,0.54,70,daylight,foggy,True,False,afternoon,False,False,2.0,0.48
1801,1801,urban,1,0.71,60,night,foggy,True,True,evening,False,False,3.0,0.78
4345,4345,highway,3,0.61,45,dim,clear,False,True,morning,False,True,1.0,0.24
39225,39225,urban,4,0.86,45,daylight,foggy,False,True,morning,False,False,2.0,0.35
35887,35887,urban,1,0.86,60,dim,rainy,True,False,afternoon,True,False,2.0,0.53
21714,21714,highway,2,0.43,60,daylight,rainy,True,False,evening,False,True,2.0,0.41
34971,34971,highway,2,0.02,25,dim,foggy,True,False,evening,True,True,1.0,0.21
1499,1499,highway,3,0.87,35,night,clear,False,True,morning,True,False,1.0,0.56
14887,14887,urban,3,0.35,35,daylight,foggy,False,True,morning,False,True,2.0,0.26
8406,8406,rural,4,0.98,70,daylight,rainy,False,False,afternoon,False,False,3.0,0.71
28712,28712,highway,3,0.7,45,night,foggy,True,True,evening,True,False,1.0,0.52
4402,4402,urban,2,0.01,70,dim,foggy,False,False,afternoon,False,True,1.0,0.22
16353,16353,highway,2,0.67,25,daylight,clear,False,True,morning,True,True,2.0,0.23
13205,13205,rural,3,0.57,25,daylight,rainy,True,True,evening,True,False,2.0,0.23
23135,23135,highway,1,0.02,60,daylight,foggy,False,False,morning,True,False,2.0,0.13
8488,8488,rural,3,0.24,60,dim,foggy,False,True,morning,False,False,1.0,0.31
23826,23826,highway,4,0.74,25,daylight,rainy,True,True,morning,False,False,2.0,0.33
3954,3954,rural,3,0.98,25,dim,rainy,False,False,afternoon,True,True,2.0,0.33
3525,3525,rural,4,0.55,60,daylight,rainy,True,True,afternoon,False,False,0.0,0.53
38865,38865,highway,3,0.69,45,daylight,rainy,True,True,evening,True,True,2.0,0.32
38605,38605,rural,2,0.06,35,dim,clear,False,True,evening,True,True,1.0,0.13
2951,2951,rural,2,0.86,35,daylight,rainy,False,False,evening,True,False,3.0,0.5
38912,38912,highway,3,0.06,45,night,clear,True,False,evening,True,True,0.0,0.25
36477,36477,urban,4,0.53,45,dim,foggy,False,True,morning,False,True,1.0,0.29
35165,35165,urban,4,0.19,45,night,clear,False,True,evening,False,False,2.0,0.26
35211,35211,urban,2,0.79,25,dim,foggy,False,False,evening,False,True,1.0,0.3
8811,8811,urban,4,0.16,60,dim,clear,False,True,afternoon,False,False,2.0,0.16
39901,39901,rural,2,0.56,25,night,clear,True,False,evening,False,True,2.0,0.38
13224,13224,rural,2,0.86,45,dim,rainy,False,True,morning,True,True,1.0,0.4
5066,5066,highway,2,0.22,35,night,foggy,True,True,afternoon,True,False,1.0,0.31
12860,12860,urban,4,0.33,25,night,clear,False,True,morning,False,False,1.0,0.19
8561,8561,rural,1,0.9,70,dim,clear,True,True,morning,False,False,3.0,0.65
14708,14708,urban,3,0.7,45,night,clear,False,True,morning,True,False,1.0,0.44
39477,39477,highway,4,0.02,45,night,foggy,False,True,afternoon,True,False,2.0,0.23
820,820,highway,3,0.58,70,daylight,foggy,True,False,morning,True,True,3.0,0.57
33531,33531,highway,2,0.79,35,night,rainy,True,True,afternoon,True,True,0.0,0.53
4092,4092,highway,3,0.15,70,daylight,rainy,False,False,afternoon,True,True,0.0,0.42
1078,1078,rural,2,0.77,25,night,rainy,True,True,afternoon,True,False,2.0,0.57
13325,13325,rural,2,0.86,25,daylight,clear,True,False,morning,True,True,1.0,0.31
29005,29005,rural,3,0.19,60,daylight,clear,False,False,morning,False,True,1.0,0.21
40732,40732,urban,2,0.65,45,dim,rainy,False,True,evening,True,False,0.0,0.29
22408,22408,urban,1,0.33,60,daylight,clear,False,True,evening,False,True,0.0,0.21
2589,2589,urban,4,0.95,45,dim,foggy,False,True,morning,False,False,2.0,0.3
25484,25484,highway,2,0.11,35,night,foggy,False,True,evening,False,True,0.0,0.21
29472,29472,highway,3,0.62,60,daylight,foggy,False,False,afternoon,False,True,0.0,0.52
